Region	Insgesamt	männlich	weiblich
Anhalt-Bitterfeld, Landkreis	157235	76971	80264
Börde, Landkreis	171393	85383	86010
Burgenlandkreis	177212	87200	90012
Harz, Landkreis	210381	103454	106927
Jerichower Land, Landkreis	90256	44854	45402
Mansfeld-Südharz, Landkreis	132034	64916	67118
Saalekreis	183974	90866	93108
Salzlandkreis	186420	90887	95533
Stendal, Landkreis	110291	54172	56119
Wittenberg, Landkreis	123888	60893	62995
Dessau, Statistische Region	-	-	-
Dessau, kreisfreie Stadt	-	-	-
Anhalt-Zerbst, Kreis	-	-	-
Bernburg, Kreis	-	-	-
Bitterfeld, Kreis	-	-	-
Köthen, Kreis	-	-	-
Wittenberg, Kreis	-	-	-
Halle, Statistische Region	-	-	-
Halle (Saale), kreisfreie Stadt	-	-	-
Burgenlandkreis	-	-	-
Mansfelder Land, Kreis	-	-	-
Merseburg-Querfurt, Kreis	-	-	-
Saalkreis	-	-	-
Sangerhausen, Kreis	-	-	-
Weißenfels, Kreis	-	-	-
Magdeburg, Statistische Region	-	-	-
Magdeburg, kreisfreie Stadt	-	-	-
Aschersleben-Staßfurt, Kreis	-	-	-
Bördekreis	-	-	-
Halberstadt, Kreis	-	-	-
Jerichower Land, Kreis	-	-	-
Ohrekreis	-	-	-
Stendal, Kreis	-	-	-
Quedlinburg, Kreis	-	-	-
Schönebeck, Kreis	-	-	-
Wernigerode, Kreis	-	-	-
Altmarkkreis Salzwedel, Kreis	-	-	-
Thüringen	2126846	1051482	1075364
Erfurt, kreisfreie Stadt	214969	104205	110764
Gera, kreisfreie Stadt	93634	45174	48460
Jena, kreisfreie Stadt	111191	55301	55890
Suhl, kreisfreie Stadt	37009	18339	18670
Weimar, kreisfreie Stadt	65620	31624	33996
Eisenach, kreisfreie Stadt	-	-	-
Eichsfeld, Landkreis	100091	50150	49941
Nordhausen, Landkreis	82444	40782	41662
Wartburgkreis	159539	79425	80114
Unstrut-Hainich-Kreis	102256	50688	51568
Kyffhäuserkreis	73690	36612	37078
Schmalkalden-Meiningen, Landkreis	123939	61977	61962
Gotha, Landkreis	134941	66997	67944
Sömmerda, Landkreis	69646	34846	34800
Hildburghausen, Landkreis	61926	31002	30924
Ilm-Kreis	106776	53798	52978
Weimarer Land, Landkreis	83179	41156	42023
Sonneberg, Landkreis	56922	28093	28829
Saalfeld-Rudolstadt, Landkreis	101494	49926	51568
Saale-Holzland-Kreis	83234	41328	41906
Saale-Orla-Kreis	79178	39306	39872
Greiz, Landkreis	96381	47487	48894
Altenburger Land, Landkreis	88787	43266	45521
